product,product_information,price,price_ordinary,customer_discount_percentage,customer_offer_valid_from,customer_offer_valid_to,member_offer,member_offer_available_from,member_offer_available_to,product_link,member_price,member_price_valid_from,member_price_valid_to,produkter_kategorier,links
Frø Ert,"Pill-, Meteor, lav",44.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-ert-pill-meteor-lav-200196,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKE'}]"
Frø Chilipepper,Westlandse Lange Rode Orga.,54.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-chilipepper-westlandse-lange-rode-orga-200240,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKF'}]"
Frø Blomkarse,"Stor, Tom Thumb, blanding",44.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-blomkarse-stor-tom-thumb-blanding-200205,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKG'}]"
Frø Ringblomst,Blandede farger,24.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-ringblomst-blandede-farger-200157,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKH'}]"
Frø Kål,"Rosen-, Igor F1, organic",54.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-kal-rosen-igor-f1-organic-200256,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKI'}]"
Frø Sommerstokk-,"rose, blanding",44.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-sommerstokk-rose-blanding-200211,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKJ'}]"
Frø Fennikel,"Finale, organic",54.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-fennikel-finale-organic-200245,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKK'}]"
Frø Bladbete,White Silver 2,44.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-bladbete-white-silver-2-200174,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKL'}]"
Frø Basilikum,"Sitron-, Lemon scent",54.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-basilikum-sitron-lemon-scent-200230,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKM'}]"
Frø Bønne,"Asparges-, Blue Lake",54.9,,3 for 2,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,,2024-01-14T00:00:00Z,2024-01-20T00:00:00Z,https://www.europris.no/p-fro-bonne-asparges-blue-lake-200238,,,,hus-hage,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFdwAKN'}]"
