product,product_information,price,price_ordinary,customer_discount_percentage,customer_offer_valid_from,customer_offer_valid_to,member_offer,member_offer_available_from,member_offer_available_to,product_link,member_price,member_price_valid_from,member_price_valid_to,produkter_kategorier,links
Hårstrikk,6 stk,3.0,,,,,,,,https://www.europris.no/p-harstrikk-6-stk-187800,,,,personlig-pleie,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAA'}]"
Hårstrikk,"m/metallring, gullfarget",3.0,,,,,,,,https://www.europris.no/p-harstrikk-m-metallring-gullfarget-188626,,,,personlig-pleie,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAB'}]"
Hårstrikk,"m/metallring, sølvfarget",3.0,,,,,,,,https://www.europris.no/p-harstrikk-m-metallring-solvfarget-188625,,,,personlig-pleie,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAC'}]"
Øyeskyggekost,6-pk,3.0,,,,,,,,https://www.europris.no/p-oyeskyggekost-6-pk-187787,,,,personlig-pleie,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAD'}]"
Badeball,11 g Brynild,5.0,,,,,,,,https://www.europris.no/p-badeball-11-g-brynild-172341,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAE'}]"
Blåbærkiss,11 g Brynild,5.0,,,,,,,,https://www.europris.no/p-blabaerkiss-11-g-brynild-172342,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAF'}]"
Fruxo pastill,20 g Malaco,5.0,,,,,,,,https://www.europris.no/p-fruxo-pastill-20-g-malaco-213055,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAG'}]"
Pim-pim pastill,20 g Malaco,5.0,,,,,,,,https://www.europris.no/p-pim-pim-pastill-20-g-malaco-213054,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAH'}]"
Hånddesinfeksjon,100 ml,5.0,,,,,,,,https://www.europris.no/p-handdesinfeksjon-100-ml-198099,,,,personlig-pleie,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAI'}]"
Servietter 10 stk,antibakterielle,5.0,,,,,,,,https://www.europris.no/p-servietter-10-stk-antibakterielle-207730,,,,personlig-pleie,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAJ'}]"
Våtserviett 10 stk,Aloe vera reisepakning,5.0,,,,,,,,https://www.europris.no/p-vatserviett-10-stk-aloe-vera-reisepakning-207729,,,,personlig-pleie,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAK'}]"
Veet,200 ml hårfjerningskrem,10.0,,,,,,,,https://www.europris.no/p-veet-200-ml-harfjerningskrem-211904,,,,personlig-pleie,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAL'}]"
Brikke,33x48 cm jute m/sort,10.0,,,,,,,,https://www.europris.no/p-brikke-33x48-cm-jute-m-sort-199057,,,,hjem-interior,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAM'}]"
Fourre,300 g choco,10.0,,,,,,,,https://www.europris.no/p-fourre-300-g-choco-198156,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAN'}]"
Fourre,300 g jordbær,10.0,,,,,,,,https://www.europris.no/p-fourre-300-g-jordbaer-198155,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAO'}]"
Snører,94 g karamell,10.0,,,,,,,,https://www.europris.no/p-snorer-94-g-karamell-208030,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAP'}]"
Tomater,grovhakkede 400 g Petti,10.0,,,,,,,,https://www.europris.no/p-tomater-grovhakkede-400-g-petti-208303,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAQ'}]"
Crack-it,100 g,10.0,,,,,,,,https://www.europris.no/p-crack-it-100-g-193583,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAR'}]"
Madonnas,175 g Choco,10.0,,,,,,,,https://www.europris.no/p-madonnas-175-g-choco-175034,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAS'}]"
Madonnas,175 g Bringebær,10.0,,,,,,,,https://www.europris.no/p-madonnas-175-g-bringebaer-170843,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAT'}]"
Madonnas,175 g Hasselnøtt,10.0,,,,,,,,https://www.europris.no/p-madonnas-175-g-hasselnott-170842,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAU'}]"
Madonnas,175 g Havre/vanilje,10.0,,,,,,,,https://www.europris.no/p-madonnas-175-g-havre-vanilje-175033,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAV'}]"
Munnbind,10-pk,10.0,,,,,,,,https://www.europris.no/p-munnbind-10-pk-195467,,,,personlig-pleie,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAW'}]"
Stjerner,92 g salt lakris Malaco,10.0,,,,,,,,https://www.europris.no/p-stjerner-92-g-salt-lakris-malaco-208032,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAX'}]"
Gavebånd,10 m metallik,10.0,,,,,,,,https://www.europris.no/p-gaveband-10-m-metallik-178839,,,,fritid,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAY'}]"
Gavebånd,"Kraft matt, 10 mm x 10 m",10.0,,,,,,,,https://www.europris.no/p-gaveband-kraft-matt-10-mm-x-10-m-178847,,,,fritid,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAZ'}]"
Sandspade,"25 cm, grønn",10.0,,,,,,,,https://www.europris.no/p-sandspade-25-cm-gronn-211257,,,,fritid,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAa'}]"
Flip flops,str 41/46,10.0,,,,,,,,https://www.europris.no/p-flip-flops-str-41-46-170616,,,,klaer-sko,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAb'}]"
Flip-flops,str 28/35,10.0,,,,,,,,https://www.europris.no/p-flip-flops-str-28-35-176157,,,,klaer-sko,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAc'}]"
Flip-flops,str 36/41,10.0,,,,,,,,https://www.europris.no/p-flip-flops-str-36-41-170632,,,,klaer-sko,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAd'}]"
Håndsåpe,300 ML Havre Omhu,10.0,,,,,,,,https://www.europris.no/p-handsape-300-ml-havre-omhu-211374,,,,personlig-pleie,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAe'}]"
Håndsåpe,300 ml Seaweed Omhu,10.0,,,,,,,,https://www.europris.no/p-handsape-300-ml-seaweed-omhu-211375,,,,personlig-pleie,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAf'}]"
Pakkebånd,25 m x 10 mm,10.0,,,,,,,,https://www.europris.no/p-pakkeband-25-m-x-10-mm-194659,,,,fritid,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAg'}]"
Pakkebånd,"10 m x 10 mm, matt",10.0,,,,,,,,https://www.europris.no/p-pakkeband-10-m-x-10-mm-matt-175702,,,,fritid,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAh'}]"
Regnponcho,one size,10.0,,,,,,,,https://www.europris.no/p-regnponcho-one-size-198197,,,,klaer-sko,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAi'}]"
Vaffelrull,125 g,10.0,,,,,,,,https://www.europris.no/p-vaffelrull-125-g-192670,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAj'}]"
Villa Lett,"0,33 l boks sleek",10.0,,,,,,,,https://www.europris.no/p-villa-lett-0-33-l-boks-sleek-208398,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAk'}]"
Choco Flarn,87 g,10.0,,,,,,,,https://www.europris.no/p-choco-flarn-87-g-194796,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAl'}]"
Duos sitron,125 g,10.0,,,,,,,,https://www.europris.no/p-duos-sitron-125-g-207260,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAm'}]"
Kjærlighet,31 g Original Gourmet,10.0,,,,,,,,https://www.europris.no/p-kjaerlighet-31-g-original-gourmet-207852,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAn'}]"
Alfabetkjeks,100 g,10.0,,,,,,,,https://www.europris.no/p-alfabetkjeks-100-g-193584,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAo'}]"
Desinfeksjon,300 ml sprayboks Hycolin,10.0,,,,,,,,https://www.europris.no/p-desinfeksjon-300-ml-sprayboks-hycolin-199181,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAp'}]"
Desinfeksjon,750 ml Glass & Rustfritt stål,10.0,,,,,,,,https://www.europris.no/p-desinfeksjon-750-ml-glass-rustfritt-stal-198353,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAq'}]"
Våtserviett,"20 stk, Skopusseren",10.0,,,,,,,,https://www.europris.no/p-vatserviett-20-stk-skopusseren-187495,,,,personlig-pleie,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAr'}]"
Våtserviett,"20 stk, Skopusseren",10.0,,,,,,,,https://www.europris.no/p-vatserviett-20-stk-skopusseren-187495,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAs'}]"
Wipes 15 stk,antibacteriel Ultra compact,10.0,,,,,,,,https://www.europris.no/p-wipes-15-stk-antibacteriel-ultra-compact-194976,,,,personlig-pleie,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAt'}]"
Fruit Biscuit,Apple,10.0,,,,,,,,https://www.europris.no/p-fruit-biscuit-apple-194792,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAu'}]"
Fruit Biscuit,Forest fruit,10.0,,,,,,,,https://www.europris.no/p-fruit-biscuit-forest-fruit-194793,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAv'}]"
Gavemerkelapp,20-pk selvklebende,10.0,,,,,,,,https://www.europris.no/p-gavemerkelapp-20-pk-selvklebende-194698,,,,fritid,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAw'}]"
Gavemerkelapp,20-pk selvklebende,10.0,,,,,,,,https://www.europris.no/p-gavemerkelapp-20-pk-selvklebende-209193,,,,fritid,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAx'}]"
Gavemerkelapp,15-pk til tosidig papir,10.0,,,,,,,,https://www.europris.no/p-gavemerkelapp-15-pk-til-tosidig-papir-194679,,,,fritid,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAy'}]"
Rett i koppen,"grønnsaksuppe, Toro",10.0,,,,,,,,https://www.europris.no/p-rett-i-koppen-gronnsaksuppe-toro-199725,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AAz'}]"
Rett i koppen,kremet kyllingsuppe Toro,10.0,,,,,,,,https://www.europris.no/p-rett-i-koppen-kremet-kyllingsuppe-toro-199727,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AA0'}]"
Rett i koppen,"tomatsuppe m/pasta, Toro",10.0,,,,,,,,https://www.europris.no/p-rett-i-koppen-tomatsuppe-m-pasta-toro-199726,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AA1'}]"
Rett i koppen,"blomkål & brokkoli, Toro",10.0,,,,,,,,https://www.europris.no/p-rett-i-koppen-blomkal-brokkoli-toro-199724,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AA2'}]"
Tannkrem 2-pk,2x50 ml Fresh breath Jordan,10.0,,,,,,,,https://www.europris.no/p-tannkrem-2-pk-2x50-ml-fresh-breath-jordan-199608,,,,personlig-pleie,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AA3'}]"
Twist & Drink,200 ml Cherry,10.0,,,,,,,,https://www.europris.no/p-twist-drink-200-ml-cherry-202237,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AA4'}]"
Twist & Drink,200 ml Exotic,10.0,,,,,,,,https://www.europris.no/p-twist-drink-200-ml-exotic-202235,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AA5'}]"
Twist & Drink,200 ml Orange,10.0,,,,,,,,https://www.europris.no/p-twist-drink-200-ml-orange-202236,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AA6'}]"
Twist & Drink,"0,2 liter, Eple",10.0,,,,,,,,https://www.europris.no/p-twist-drink-0-2-liter-eple-191008,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AA7'}]"
Twist & Drink,200 ml Strawberry,10.0,,,,,,,,https://www.europris.no/p-twist-drink-200-ml-strawberry-202234,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AA8'}]"
Twist & Drink,"0,2 liter, Cola Mix",10.0,,,,,,,,https://www.europris.no/p-twist-drink-0-2-liter-cola-mix-191009,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AA9'}]"
Twist & Drink,"0,2 liter, Skogsbær",10.0,,,,,,,,https://www.europris.no/p-twist-drink-0-2-liter-skogsbaer-191010,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AA%2B'}]"
Twist & Drink,"0,2 liter, Bringebær",10.0,,,,,,,,https://www.europris.no/p-twist-drink-0-2-liter-bringebaer-191007,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7AA%2F'}]"
Madonnas kjeks,175 g Sitron,10.0,,,,,,,,https://www.europris.no/p-madonnas-kjeks-175-g-sitron-190988,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7ABA'}]"
Madonnas kjeks,175 g Blåbær,10.0,,,,,,,,https://www.europris.no/p-madonnas-kjeks-175-g-blabaer-190989,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7ABB'}]"
Tannkrem 15 ml,Kids Zendium,10.0,,,,,,,,https://www.europris.no/p-tannkrem-15-ml-kids-zendium-187178,,,,personlig-pleie,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7ABC'}]"
Tannkrem 75 ml,Solidox Rene tenner,10.0,,,,,,,,https://www.europris.no/p-tannkrem-75-ml-solidox-rene-tenner-210589,,,,personlig-pleie,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7ABD'}]"
Lefsegodt 2 stk,115 g Vestlandslefsa,10.0,,,,,,,,https://www.europris.no/p-lefsegodt-2-stk-115-g-vestlandslefsa-206218,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7ABE'}]"
Tannkrem 125 ml,Kids Strawberry Sence Fresh,10.0,,,,,,,,https://www.europris.no/p-tannkrem-125-ml-kids-strawberry-sence-fresh-190633,,,,personlig-pleie,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7ABF'}]"
Duos hasselnøtt,125 g,10.0,,,,,,,,https://www.europris.no/p-duos-hasselnott-125-g-207259,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7ABG'}]"
Kalenderstickers,1 til 24,10.0,,,,,,,,https://www.europris.no/p-kalenderstickers-1-til-24-194695,,,,fritid,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7ABH'}]"
Hånddesinfeksjon,50 ml Ultra compact lime,10.0,,,,,,,,https://www.europris.no/p-handdesinfeksjon-50-ml-ultra-compact-lime-194975,,,,personlig-pleie,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7ABI'}]"
Stjerner jordbær,92 g Malaco,10.0,,,,,,,,https://www.europris.no/p-stjerner-jordbaer-92-g-malaco-208031,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7ABJ'}]"
Define dry shampoo,50 ml Orginal,10.0,,,,,,,,https://www.europris.no/p-define-dry-shampoo-50-ml-orginal-194202,,,,personlig-pleie,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7ABK'}]"
Define dry shampoo,50 ml Brunettes,10.0,,,,,,,,https://www.europris.no/p-define-dry-shampoo-50-ml-brunettes-194204,,,,personlig-pleie,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7ABL'}]"
Tørst energidrikk,500 ml Papaya mango,10.0,,,,,,,,https://www.europris.no/p-torst-energidrikk-500-ml-papaya-mango-210901,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7ABM'}]"
Tørst energidrikk,500 ml Wild berry sukkerfri,10.0,,,,,,,,https://www.europris.no/p-torst-energidrikk-500-ml-wild-berry-sukkerfri-211259,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7ABN'}]"
Kjærlighet ispinne,60 g,10.0,,,,,,,,https://www.europris.no/p-kjaerlighet-ispinne-60-g-197463,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7ABO'}]"
Dumle Snackbar,40 g,12.0,,,,,,,,https://www.europris.no/p-dumle-snackbar-40-g-212570,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7ABP'}]"
Theos,sitron vafler 175 g,15.0,,,,,,,,https://www.europris.no/p-theos-sitron-vafler-175-g-205002,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7ABQ'}]"
Theos,vanilje vafler 175 g,15.0,,,,,,,,https://www.europris.no/p-theos-vanilje-vafler-175-g-205001,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7ABR'}]"
Bokbind,10 m x 50 cm,15.0,,,,,,,,https://www.europris.no/p-bokbind-10-m-x-50-cm-158418,,,,dagligvarer,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7ABS'}]"
Bokbind,10 m x 50 cm,15.0,,,,,,,,https://www.europris.no/p-bokbind-10-m-x-50-cm-158418,,,,fritid,"[{'rel': 'self', 'href': 'https://g98a3adf2c98659-weather.adb.eu-stockholm-1.oraclecloudapps.com/ords/admin/products_2024_05_03/AAAabtAAAAAAFc7ABT'}]"
